trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
25252544,2019-10-02 20:28:40,2019-10-02 20:35:59,1286,438.0,620,Orleans St & Chestnut St (NEXT Apts),84,Milwaukee Ave & Grand Ave,Subscriber,Male,1987.0
25252944,2019-10-02 21:46:08,2019-10-02 21:54:08,1974,479.0,20,Sheffield Ave & Kingsbury St,61,Wood St & Milwaukee Ave,Subscriber,Male,1995.0
25247805,2019-10-02 15:16:41,2019-10-02 15:23:18,6335,397.0,135,Halsted St & 21st St,339,Emerald Ave & 31st St,Subscriber,Male,1988.0
25246846,2019-10-02 12:54:05,2019-10-02 12:59:52,1322,347.0,15,Racine Ave & 18th St,55,Halsted St & Roosevelt Rd,Subscriber,Female,1990.0
25250369,2019-10-02 17:25:50,2019-10-02 17:35:01,4022,551.0,338,Calumet Ave & 18th St,202,Halsted St & 18th St,Subscriber,Male,1981.0
25250428,2019-10-02 17:27:52,2019-10-02 17:44:42,5811,"1,010.0",301,Clark St & Schiller St,127,Lincoln Ave & Fullerton Ave,Subscriber,Male,1953.0
25251874,2019-10-02 18:55:51,2019-10-02 19:01:34,237,342.0,142,McClurg Ct & Erie St,85,Michigan Ave & Oak St,Subscriber,Male,1958.0
25252051,2019-10-02 19:21:42,2019-10-02 19:28:54,4719,431.0,287,Franklin St & Monroe St,394,Clark St & 9th St (AMLI),Subscriber,Male,1987.0
25249866,2019-10-02 17:12:03,2019-10-02 17:22:26,1336,623.0,36,Franklin St & Jackson Blvd,2,Buckingham Fountain,Subscriber,Male,1970.0
25263616,2019-10-03 17:03:57,2019-10-03 17:12:42,3926,524.0,48,Larrabee St & Kingsbury St,337,Clark St & Chicago Ave,Subscriber,Female,1987.0
25265504,2019-10-03 17:49:06,2019-10-03 17:51:26,5550,140.0,71,Morgan St & Lake St,88,Racine Ave & Randolph St,Subscriber,Female,1994.0
25258821,2019-10-03 12:05:42,2019-10-03 12:17:41,723,718.0,261,Hermitage Ave & Polk St,109,900 W Harrison St,Subscriber,Female,1990.0
25265226,2019-10-03 17:41:28,2019-10-03 17:47:22,4275,354.0,31,Franklin St & Chicago Ave,54,Ogden Ave & Chicago Ave,Subscriber,Male,1985.0
25262691,2019-10-03 16:40:38,2019-10-03 17:00:39,2043,"1,201.0",81,Daley Center Plaza,340,Clark St & Wrightwood Ave,Subscriber,Female,1990.0
